restaurant_id,restaurant_type,restaurant_name,restaurant_address,coordinates_lat,coordinates_long,restaurant_rating,restaurant_reviews,restaurant_zip
sxv1oJxG8uu6u4tjKHiJMA,Chinese,Bugis Street Brasserie and Bar,'145 W 44th St',40.7567689,-73.9843329,3.5,68,10036
B87c3bE_u53yNYO1cmHSIw,Chinese,Flor de Mayo,'2651 Broadway',40.797859,-73.969948,4.0,545,10025
LJntAPKObO0OfydYm3_bzQ,Chinese,Kings Co Imperial,'168 1/2 Delancey St',40.7179421782795,-73.9854200459023,4.0,47,10002
lgS9lE0Y9FhzT68zCj5QCw,Chinese,Hunan Bistro,'96 3rd Ave',40.73234,-73.9881,3.5,208,10003
2pnhIRBUw58PpN8CQEYiZA,Chinese,New Food King,'694 10th Ave',40.76366,-73.99217,3.5,62,10036
RffIwNrMmEf5auDVP1eURA,Chinese,Zai Lai: Homestyle Taiwanese,'1000 S 8th Ave',40.767127,-73.983016,3.0,121,10019
ikx8R8u2lmxhpLGByCjgPw,Chinese,House Special 甘來飯店,'171 Hester St',40.71785,-73.9967999,4.0,46,10013
54om5q7V4anmIXw2PdNJbA,Chinese,Chen's Buffet Bar,'32 Cedar St',40.70712,-74.00845,4.0,36,10038
4zuvAX0g_h_vBgE34oALhg,Chinese,Red Hot Hot Pot,'1000 Columbus Ave',40.8014032,-73.9615043,4.0,66,10025
zubN8Ve-RyoljRZV4NRxEQ,Chinese,Wo Hop,'17 Mott St',40.7142239034582,-73.9988691693115,3.5,1373,10013
7wrFd9tnIBMClzDnrWdSNw,Chinese,Chinatown Kitchen,'450 60th St',40.7885757502878,-74.0158536518411,4.5,10,07093
DKGUSLiqNchBNatKoPM9QQ,Chinese,Junzi Kitchen,'2896 Broadway',40.8057641877461,-73.9652019005902,4.0,156,10025
dpCSDy9uefOEcY44FHss2Q,Chinese,Hyo Dong Gak,'51 W 35th St',40.7501219,-73.9862269,3.5,395,10001
DOa_Hm5HHT99GOvlhbydaQ,Chinese,Le Sia,'11 E 7th St',40.728886,-73.989841,4.0,226,10003
yVI01P3ApyLlkqtOfgki7A,Chinese,Bei Jing Chinese Foods,'860 10th Ave',40.768619,-73.98851,3.5,19,10019
k8GFfCXO2FIIJIo0ICYSRA,Chinese,Bao Bao Cafe,'106 Greenwich St',40.70854,-74.01367,4.0,151,10006
OvdCm3j_5HzItolfvwrEUA,Chinese,Lilli & Loo,'792 Lexington Ave',40.763858,-73.967269,3.5,378,10065
_WXa2M3gz2Mi0ys3s88nDw,Chinese,La Salle Dumpling Room,'3141 Broadway',40.81403,-73.95983,4.0,231,10027
zb78ua-FlfFRj8v082giBw,Chinese,Jimmy's House,'162 E 25th St',40.74016,-73.98256,3.5,115,10010
IhSVn0TaX8xXb3wcQ-fgcA,Chinese,Vanessa's Dumpling House,'118A Eldridge St',40.71839,-73.9917399,4.0,2561,10002
g_5V15Xp1OvB1QXuGMstYA,Chinese,Chef Yu,'520 8th Ave',40.75365,-73.99217,3.0,567,10018
COwkSHioqJBh1m33uhzSCA,Chinese,Mr Bing,'8 W 46th St',40.756208,-73.979713,3.5,35,10036
2wVirrAVg3ltAFHoHeXHMQ,Chinese,Dim Sum Palace,'59 2nd Ave',40.7259,-73.98986,4.5,98,10003
XDv71A1J3aIOu_W5sVzZ2w,Chinese,SHI MIAODAO Yunnan Rice Noodle,'33 Saint Marks Pl',40.72904,-73.9881,4.0,84,10003
Cyv-tW4BljwWnP16HI_zAg,Chinese,Taste Kitchen,'316 W 36th St',40.75374,-73.99342,3.5,38,10018
rBUTVjRs5CcEMe3dfVRZJQ,Chinese,Ho Foods,'110 E 7th St',40.72634,-73.98478,4.0,241,10009
s25mujxKWphsyFm0Ji1xYA,Chinese,Mr Chow,'324 E 57th St',40.7588502019644,-73.9643376320601,3.0,345,10022
Lp8vAE5nHSt5zbu-lSGK8A,Chinese,Hop Lee Restaurant,'16 Mott St',40.71426,-73.99849,4.0,292,10013
9v-JAffC6qw8Xp67BICByQ,Chinese,Hot Kitchen Skewer Hotpot & BBQ,'104 2nd Ave',40.72741,-73.98816,3.5,426,10003
JFFVmuwj8pnSLePgy3f2Iw,Chinese,Mi Noodle Bar,'391 2nd Ave',40.7377,-73.981304,4.5,198,10010
7hh2eP4HVkyjtpcqeITk3Q,Chinese,Ollie's Noodle Shop & Grille,'2705 Broadway',40.79942,-73.96868,3.0,154,10025
1YGpTYD8xIuUpK_beMhzSw,Chinese,The Rice Noodle,'190 Bleecker St',40.729087,-74.001525,4.0,134,10012
O1fUmxt3kbV-rnyjBtzAfw,Chinese,THEP Thai Restaurant,'1439 2nd Ave',40.77078,-73.95727,4.5,725,10021
Z9t-ou4JhiBu-n4-F7hDng,Chinese,Meet Noodles,'50 3rd Ave',40.73097,-73.9891,4.5,119,10003
rJ4N10Nbh-GM49qOSGFoAw,Chinese,Old Xi'an,'164 Pearl St',40.70591,-74.00747,4.5,155,10005
